Team,Result,Margin,BR,Toss,Bat,Opposition,Ground,Date
South Africa,won,1 wickets,10,lost,2nd,Sri Lanka,Providence,28-Mar-07
Sri Lanka,lost,1 wickets,10,won,1st,South Africa,Providence,28-Mar-07
New Zealand,won,7 wickets,64,won,2nd,West Indies,North Sound,29-Mar-07
West Indies,lost,7 wickets,64,lost,1st,New Zealand,North Sound,29-Mar-07
Sri Lanka,won,113 runs,0,lost,1st,West Indies,Providence,1-Apr-07
West Indies,lost,113 runs,0,won,2nd,Sri Lanka,Providence,1-Apr-07
Sri Lanka,won,2 runs,0,lost,1st,England,North Sound,4-Apr-07
England,lost,2 runs,0,won,2nd,Sri Lanka,North Sound,4-Apr-07
Australia,won,7 wickets,16,lost,2nd,England,North Sound,8-Apr-07
England,lost,7 wickets,16,won,1st,Australia,North Sound,8-Apr-07
South Africa,won,67 runs,0,lost,1st,West Indies,St George's,10-Apr-07
West Indies,lost,67 runs,0,won,2nd,South Africa,St George's,10-Apr-07
Sri Lanka,won,6 wickets,29,lost,2nd,New Zealand,St George's,12-Apr-07
New Zealand,lost,6 wickets,29,won,1st,Sri Lanka,St George's,12-Apr-07
New Zealand,won,5 wickets,10,won,2nd,South Africa,St George's,14-Apr-07
South Africa,lost,5 wickets,10,lost,1st,New Zealand,St George's,14-Apr-07
Australia,won,7 wickets,44,lost,2nd,Sri Lanka,St George's,16-Apr-07
Sri Lanka,lost,7 wickets,44,won,1st,Australia,St George's,16-Apr-07
South Africa,won,9 wickets,184,lost,2nd,England,Bridgetown,17-Apr-07
England,lost,9 wickets,184,won,1st,South Africa,Bridgetown,17-Apr-07
Australia,won,215 runs,0,won,1st,New Zealand,St George's,20-Apr-07
New Zealand,lost,215 runs,0,lost,2nd,Australia,St George's,20-Apr-07
England,won,1 wickets,1,won,2nd,West Indies,Bridgetown,21-Apr-07
West Indies,lost,1 wickets,1,lost,1st,England,Bridgetown,21-Apr-07
Sri Lanka,won,81 runs,0,won,1st,New Zealand,Kingston,24-Apr-07
New Zealand,lost,81 runs,0,lost,2nd,Sri Lanka,Kingston,24-Apr-07
Australia,won,7 wickets,111,lost,2nd,South Africa,Gros Islet,25-Apr-07
South Africa,lost,7 wickets,111,won,1st,Australia,Gros Islet,25-Apr-07
Australia,won,53 runs,0,won,1st,Sri Lanka,Bridgetown,28-Apr-07
Sri Lanka,lost,53 runs,0,lost,2nd,Australia,Bridgetown,28-Apr-07
Pakistan,won,5 wickets,48,lost,2nd,Sri Lanka,Abu Dhabi,18-May-07
Sri Lanka,lost,5 wickets,48,won,1st,Pakistan,Abu Dhabi,18-May-07
Pakistan,won,98 runs,0,won,1st,Sri Lanka,Abu Dhabi,20-May-07
Sri Lanka,lost,98 runs,0,lost,2nd,Pakistan,Abu Dhabi,20-May-07
Sri Lanka,won,115 runs,0,won,1st,Pakistan,Abu Dhabi,22-May-07
Pakistan,lost,115 runs,0,lost,2nd,Sri Lanka,Abu Dhabi,22-May-07
South Africa,won,4 wickets,3,won,2nd,India,Belfast,26-Jun-07
India,lost,4 wickets,3,lost,1st,South Africa,Belfast,26-Jun-07
India,won,6 wickets,5,won,2nd,South Africa,Belfast,29-Jun-07
South Africa,lost,6 wickets,5,lost,1st,India,Belfast,29-Jun-07
England,won,79 runs,0,lost,1st,West Indies,Lord's,1-Jul-07
West Indies,lost,79 runs,0,won,2nd,England,Lord's,1-Jul-07
India,won,6 wickets,4,won,2nd,South Africa,Belfast,1-Jul-07
South Africa,lost,6 wickets,4,lost,1st,India,Belfast,1-Jul-07
West Indies,won,61 runs,0,lost,1st,England,Birmingham,4-Jul-07
England,lost,61 runs,0,won,2nd,West Indies,Birmingham,4-Jul-07
West Indies,won,93 runs,0,won,1st,England,Nottingham,7-Jul-07
England,lost,93 runs,0,lost,2nd,West Indies,Nottingham,7-Jul-07
England,won,104 runs,0,lost,1st,India,Southampton,21-Aug-07
India,lost,104 runs,0,won,2nd,England,Southampton,21-Aug-07
India,won,9 runs,0,won,1st,England,Bristol,24-Aug-07
England,lost,9 runs,0,lost,2nd,India,Bristol,24-Aug-07
England,won,42 runs,0,lost,1st,India,Birmingham,27-Aug-07
India,lost,42 runs,0,won,2nd,England,Birmingham,27-Aug-07
England,won,3 wickets,12,lost,2nd,India,Manchester,30-Aug-07
India,lost,3 wickets,12,won,1st,England,Manchester,30-Aug-07
India,won,38 runs,0,lost,1st,England,Leeds,2-Sep-07
England,lost,38 runs,0,won,2nd,India,Leeds,2-Sep-07
India,won,2 wickets,2,lost,2nd,England,The Oval,5-Sep-07
England,lost,2 wickets,2,won,1st,India,The Oval,5-Sep-07
England,won,7 wickets,82,lost,2nd,India,Lord's,8-Sep-07
India,lost,7 wickets,82,won,1st,England,Lord's,8-Sep-07
Sri Lanka,won,119 runs,0,won,1st,England,Dambulla,1-Oct-07
England,lost,119 runs,0,lost,2nd,Sri Lanka,Dambulla,1-Oct-07
Australia,won,84 runs,0,lost,1st,India,Kochi,2-Oct-07
India,lost,84 runs,0,won,2nd,Australia,Kochi,2-Oct-07
England,won,65 runs,0,won,1st,Sri Lanka,Dambulla,4-Oct-07
Sri Lanka,lost,65 runs,0,lost,2nd,England,Dambulla,4-Oct-07
Australia,won,47 runs,0,won,1st,India,Hyderabad (Deccan),5-Oct-07
India,lost,47 runs,0,lost,2nd,Australia,Hyderabad (Deccan),5-Oct-07
England,won,2 wickets,7,lost,2nd,Sri Lanka,Dambulla,7-Oct-07
Sri Lanka,lost,2 wickets,7,won,1st,England,Dambulla,7-Oct-07
India,won,8 runs,0,won,1st,Australia,Chandigarh,8-Oct-07
Australia,lost,8 runs,0,lost,2nd,India,Chandigarh,8-Oct-07
England,won,5 wickets,19,lost,2nd,Sri Lanka,Colombo (RPS),10-Oct-07
Sri Lanka,lost,5 wickets,19,won,1st,England,Colombo (RPS),10-Oct-07
Australia,won,9 wickets,145,lost,2nd,India,Vadodara,11-Oct-07
India,lost,9 wickets,145,won,1st,Australia,Vadodara,11-Oct-07
Sri Lanka,won,107 runs,0,won,1st,England,Colombo (RPS),13-Oct-07
England,lost,107 runs,0,lost,2nd,Sri Lanka,Colombo (RPS),13-Oct-07
Australia,won,18 runs,0,won,1st,India,Nagpur,14-Oct-07
India,lost,18 runs,0,lost,2nd,Australia,Nagpur,14-Oct-07
India,won,2 wickets,24,lost,2nd,Australia,Mumbai,17-Oct-07
Australia,lost,2 wickets,24,won,1st,India,Mumbai,17-Oct-07
South Africa,won,45 runs,0,won,1st,Pakistan,Lahore,18-Oct-07
Pakistan,lost,45 runs,0,lost,2nd,South Africa,Lahore,18-Oct-07
Pakistan,won,25 runs,0,won,1st,South Africa,Lahore,20-Oct-07
South Africa,lost,25 runs,0,lost,2nd,Pakistan,Lahore,20-Oct-07
Pakistan,won,6 wickets,11,lost,2nd,South Africa,Faisalabad,23-Oct-07
South Africa,lost,6 wickets,11,won,1st,Pakistan,Faisalabad,23-Oct-07
South Africa,won,7 wickets,74,lost,2nd,Pakistan,Multan,26-Oct-07
Pakistan,lost,7 wickets,74,won,1st,South Africa,Multan,26-Oct-07
South Africa,won,14 runs,0,won,1st,Pakistan,Lahore,29-Oct-07
Pakistan,lost,14 runs,0,lost,2nd,South Africa,Lahore,29-Oct-07
India,won,5 wickets,18,lost,2nd,Pakistan,Guwahati,5-Nov-07
Pakistan,lost,5 wickets,18,won,1st,India,Guwahati,5-Nov-07
Pakistan,won,4 wickets,1,lost,2nd,India,Mohali,8-Nov-07
India,lost,4 wickets,1,won,1st,Pakistan,Mohali,8-Nov-07
India,won,46 runs,0,lost,1st,Pakistan,Kanpur,11-Nov-07
Pakistan,lost,46 runs,0,won,2nd,India,Kanpur,11-Nov-07
India,won,6 wickets,21,lost,2nd,Pakistan,Gwalior,15-Nov-07
Pakistan,lost,6 wickets,21,won,1st,India,Gwalior,15-Nov-07
Pakistan,won,31 runs,0,lost,1st,India,Jaipur,18-Nov-07
India,lost,31 runs,0,won,2nd,Pakistan,Jaipur,18-Nov-07
South Africa,won,2 wickets,0,won,2nd,New Zealand,Durban,25-Nov-07
New Zealand,lost,2 wickets,0,lost,1st,South Africa,Durban,25-Nov-07
New Zealand,won,7 wickets,68,lost,2nd,South Africa,Port Elizabeth,30-Nov-07
South Africa,lost,7 wickets,68,won,1st,New Zealand,Port Elizabeth,30-Nov-07
South Africa,won,5 wickets,28,lost,2nd,New Zealand,Cape Town,2-Dec-07
New Zealand,lost,5 wickets,28,won,1st,South Africa,Cape Town,2-Dec-07
Australia,won,7 wickets,45,lost,2nd,New Zealand,Adelaide,14-Dec-07
New Zealand,lost,7 wickets,45,won,1st,Australia,Adelaide,14-Dec-07
Australia,won,114 runs,0,lost,1st,New Zealand,Hobart,20-Dec-07
New Zealand,lost,114 runs,0,won,2nd,Australia,Hobart,20-Dec-07
South Africa,won,6 wickets,12,won,2nd,West Indies,Centurion,20-Jan-08
West Indies,lost,6 wickets,12,lost,1st,South Africa,Centurion,20-Jan-08
South Africa,won,86 runs,0,won,1st,West Indies,Cape Town,25-Jan-08
West Indies,lost,86 runs,0,lost,2nd,South Africa,Cape Town,25-Jan-08
South Africa,won,7 wickets,8,lost,2nd,West Indies,Port Elizabeth,27-Jan-08
West Indies,lost,7 wickets,8,won,1st,South Africa,Port Elizabeth,27-Jan-08
South Africa,won,5 wickets,13,lost,2nd,West Indies,Durban,1-Feb-08
West Indies,lost,5 wickets,13,won,1st,South Africa,Durban,1-Feb-08
South Africa,won,8 wickets,13,won,2nd,West Indies,Johannesburg,3-Feb-08
West Indies,lost,8 wickets,13,lost,1st,South Africa,Johannesburg,3-Feb-08
Australia,won,128 runs,0,won,1st,Sri Lanka,Sydney,8-Feb-08
Sri Lanka,lost,128 runs,0,lost,2nd,Australia,Sydney,8-Feb-08
New Zealand,won,6 wickets,120,lost,2nd,England,Wellington,9-Feb-08
England,lost,6 wickets,120,won,1st,New Zealand,Wellington,9-Feb-08
India,won,5 wickets,25,lost,2nd,Australia,Melbourne,10-Feb-08
Australia,lost,5 wickets,25,won,1st,India,Melbourne,10-Feb-08
Sri Lanka,won,8 wickets,12,won,2nd,India,Canberra,12-Feb-08
India,lost,8 wickets,12,lost,1st,Sri Lanka,Canberra,12-Feb-08
New Zealand,won,10 wickets,107,won,2nd,England,Hamilton,12-Feb-08
England,lost,10 wickets,107,lost,1st,New Zealand,Hamilton,12-Feb-08
England,won,6 wickets,18,won,2nd,New Zealand,Auckland,15-Feb-08
New Zealand,lost,6 wickets,18,lost,1st,England,Auckland,15-Feb-08
Australia,won,63 runs,0,won,1st,Sri Lanka,Perth,15-Feb-08
Sri Lanka,lost,63 runs,0,lost,2nd,Australia,Perth,15-Feb-08
Australia,won,50 runs,0,won,1st,India,Adelaide,17-Feb-08
India,lost,50 runs,0,lost,2nd,Australia,Adelaide,17-Feb-08
India,won,2 wickets,5,lost,2nd,Sri Lanka,Adelaide,19-Feb-08
Sri Lanka,lost,2 wickets,5,won,1st,India,Adelaide,19-Feb-08
England,tied,-,0,lost,1st,New Zealand,Napier,20-Feb-08
New Zealand,tied,-,0,won,2nd,England,Napier,20-Feb-08
Australia,won,24 runs,0,lost,1st,Sri Lanka,Melbourne,22-Feb-08
Sri Lanka,lost,24 runs,0,won,2nd,Australia,Melbourne,22-Feb-08
New Zealand,won,34 runs,0,won,2nd,England,Christchurch,23-Feb-08
England,lost,34 runs,0,lost,1st,New Zealand,Christchurch,23-Feb-08
Australia,won,18 runs,0,won,1st,India,Sydney,24-Feb-08
India,lost,18 runs,0,lost,2nd,Australia,Sydney,24-Feb-08
India,won,7 wickets,106,won,2nd,Sri Lanka,Hobart,26-Feb-08
Sri Lanka,lost,7 wickets,106,lost,1st,India,Hobart,26-Feb-08
Sri Lanka,won,13 runs,0,won,1st,Australia,Melbourne,29-Feb-08
Australia,lost,13 runs,0,lost,2nd,Sri Lanka,Melbourne,29-Feb-08
India,won,6 wickets,25,lost,2nd,Australia,Sydney,2-Mar-08
Australia,lost,6 wickets,25,won,1st,India,Sydney,2-Mar-08
India,won,9 runs,0,won,1st,Australia,Brisbane,4-Mar-08
Australia,lost,9 runs,0,lost,2nd,India,Brisbane,4-Mar-08
West Indies,won,1 wickets,0,won,2nd,Sri Lanka,Port of Spain,10-Apr-08
Sri Lanka,lost,1 wickets,0,lost,1st,West Indies,Port of Spain,10-Apr-08
West Indies,won,7 wickets,27,won,2nd,Sri Lanka,Port of Spain,12-Apr-08
Sri Lanka,lost,7 wickets,27,lost,1st,West Indies,Port of Spain,12-Apr-08
India,won,140 runs,0,won,1st,Pakistan,Dhaka,10-Jun-08
Pakistan,lost,140 runs,0,lost,2nd,India,Dhaka,10-Jun-08
Pakistan,won,25 runs,0,won,1st,India,Dhaka,14-Jun-08
India,lost,25 runs,0,lost,2nd,Pakistan,Dhaka,14-Jun-08
England,won,114 runs,0,lost,1st,New Zealand,Chester-le-Street,15-Jun-08
New Zealand,lost,114 runs,0,won,2nd,England,Chester-le-Street,15-Jun-08
New Zealand,won,22 runs,0,lost,1st,England,Bristol,21-Jun-08
England,lost,22 runs,0,won,2nd,New Zealand,Bristol,21-Jun-08
Australia,won,84 runs,0,lost,1st,West Indies,Kingstown,24-Jun-08
West Indies,lost,84 runs,0,won,2nd,Australia,Kingstown,24-Jun-08
New Zealand,won,1 wickets,0,won,2nd,England,The Oval,25-Jun-08
England,lost,1 wickets,0,lost,1st,New Zealand,The Oval,25-Jun-08
India,won,6 wickets,47,lost,2nd,Pakistan,Karachi,26-Jun-08
Pakistan,lost,6 wickets,47,won,1st,India,Karachi,26-Jun-08
Australia,won,63 runs,0,won,1st,West Indies,St George's,27-Jun-08
West Indies,lost,63 runs,0,lost,2nd,Australia,St George's,27-Jun-08
New Zealand,won,51 runs,0,lost,1st,England,Lord's,28-Jun-08
England,lost,51 runs,0,won,2nd,New Zealand,Lord's,28-Jun-08
Sri Lanka,won,64 runs,0,lost,1st,Pakistan,Karachi,29-Jun-08
Pakistan,lost,64 runs,0,won,2nd,Sri Lanka,Karachi,29-Jun-08
Australia,won,7 wickets,57,won,2nd,West Indies,St George's,29-Jun-08
West Indies,lost,7 wickets,57,lost,1st,Australia,St George's,29-Jun-08
Pakistan,won,8 wickets,27,lost,2nd,India,Karachi,2-Jul-08
India,lost,8 wickets,27,won,1st,Pakistan,Karachi,2-Jul-08
India,won,6 wickets,19,lost,2nd,Sri Lanka,Karachi,3-Jul-08
Sri Lanka,lost,6 wickets,19,won,1st,India,Karachi,3-Jul-08
Australia,won,1 runs,0,lost,1st,West Indies,Basseterre,4-Jul-08
West Indies,lost,1 runs,0,won,2nd,Australia,Basseterre,4-Jul-08
Sri Lanka,won,100 runs,0,lost,1st,India,Karachi,6-Jul-08
India,lost,100 runs,0,won,2nd,Sri Lanka,Karachi,6-Jul-08
Australia,won,169 runs,0,won,1st,West Indies,Basseterre,6-Jul-08
West Indies,lost,169 runs,0,lost,2nd,Australia,Basseterre,6-Jul-08
Sri Lanka,won,8 wickets,91,lost,2nd,India,Dambulla,18-Aug-08
India,lost,8 wickets,91,won,1st,Sri Lanka,Dambulla,18-Aug-08
India,won,3 wickets,62,won,2nd,Sri Lanka,Dambulla,20-Aug-08
Sri Lanka,lost,3 wickets,62,lost,1st,India,Dambulla,20-Aug-08
England,won,20 runs,0,won,1st,South Africa,Leeds,22-Aug-08
South Africa,lost,20 runs,0,lost,2nd,England,Leeds,22-Aug-08
India,won,33 runs,0,won,1st,Sri Lanka,Colombo (RPS),24-Aug-08
Sri Lanka,lost,33 runs,0,lost,2nd,India,Colombo (RPS),24-Aug-08
England,won,10 wickets,215,lost,2nd,South Africa,Nottingham,26-Aug-08
South Africa,lost,10 wickets,215,won,1st,England,Nottingham,26-Aug-08
India,won,46 runs,0,won,1st,Sri Lanka,Colombo (RPS),27-Aug-08
Sri Lanka,lost,46 runs,0,lost,2nd,India,Colombo (RPS),27-Aug-08
Sri Lanka,won,112 runs,0,won,1st,India,Colombo (RPS),29-Aug-08
India,lost,112 runs,0,lost,2nd,Sri Lanka,Colombo (RPS),29-Aug-08
England,won,126 runs,0,lost,1st,South Africa,The Oval,29-Aug-08
South Africa,lost,126 runs,0,won,2nd,England,The Oval,29-Aug-08
England,won,7 wickets,14,won,2nd,South Africa,Lord's,31-Aug-08
South Africa,lost,7 wickets,14,lost,1st,England,Lord's,31-Aug-08
Pakistan,won,4 wickets,1,lost,2nd,West Indies,Abu Dhabi,12-Nov-08
West Indies,lost,4 wickets,1,won,1st,Pakistan,Abu Dhabi,12-Nov-08
India,won,158 runs,0,lost,1st,England,Rajkot,14-Nov-08
England,lost,158 runs,0,won,2nd,India,Rajkot,14-Nov-08
Pakistan,won,24 runs,0,won,1st,West Indies,Abu Dhabi,14-Nov-08
West Indies,lost,24 runs,0,lost,2nd,Pakistan,Abu Dhabi,14-Nov-08
Pakistan,won,31 runs,0,won,1st,West Indies,Abu Dhabi,16-Nov-08
West Indies,lost,31 runs,0,lost,2nd,Pakistan,Abu Dhabi,16-Nov-08
India,won,54 runs,0,won,1st,England,Indore,17-Nov-08
England,lost,54 runs,0,lost,2nd,India,Indore,17-Nov-08
India,won,16 runs,0,lost,2nd,England,Kanpur,20-Nov-08
England,lost,16 runs,0,won,1st,India,Kanpur,20-Nov-08
India,won,19 runs,0,lost,1st,England,Bangalore,23-Nov-08
England,lost,19 runs,0,won,2nd,India,Bangalore,23-Nov-08
India,won,6 wickets,38,won,2nd,England,Cuttack,26-Nov-08
England,lost,6 wickets,38,lost,1st,India,Cuttack,26-Nov-08
West Indies,won,5 wickets,1,won,2nd,New Zealand,Christchurch,3-Jan-09
New Zealand,lost,5 wickets,1,lost,1st,West Indies,Christchurch,3-Jan-09
New Zealand,won,7 wickets,177,won,2nd,West Indies,Wellington,7-Jan-09
West Indies,lost,7 wickets,177,lost,1st,New Zealand,Wellington,7-Jan-09
New Zealand,won,9 runs,0,won,2nd,West Indies,Napier,13-Jan-09
West Indies,lost,9 runs,0,lost,1st,New Zealand,Napier,13-Jan-09
South Africa,won,3 wickets,3,lost,2nd,Australia,Melbourne,16-Jan-09
Australia,lost,3 wickets,3,won,1st,South Africa,Melbourne,16-Jan-09
Australia,won,5 runs,0,lost,1st,South Africa,Hobart,18-Jan-09
South Africa,lost,5 runs,0,won,2nd,Australia,Hobart,18-Jan-09
Pakistan,won,8 wickets,25,lost,2nd,Sri Lanka,Karachi,20-Jan-09
Sri Lanka,lost,8 wickets,25,won,1st,Pakistan,Karachi,20-Jan-09
Sri Lanka,won,129 runs,0,lost,1st,Pakistan,Karachi,21-Jan-09
Pakistan,lost,129 runs,0,won,2nd,Sri Lanka,Karachi,21-Jan-09
South Africa,won,3 wickets,21,lost,2nd,Australia,Sydney,23-Jan-09
Australia,lost,3 wickets,21,won,1st,South Africa,Sydney,23-Jan-09
Sri Lanka,won,234 runs,0,won,1st,Pakistan,Lahore,24-Jan-09
Pakistan,lost,234 runs,0,lost,2nd,Sri Lanka,Lahore,24-Jan-09
South Africa,won,8 wickets,71,lost,2nd,Australia,Adelaide,26-Jan-09
Australia,lost,8 wickets,71,won,1st,South Africa,Adelaide,26-Jan-09
India,won,6 wickets,11,won,2nd,Sri Lanka,Dambulla,28-Jan-09
Sri Lanka,lost,6 wickets,11,lost,1st,India,Dambulla,28-Jan-09
South Africa,won,39 runs,0,won,1st,Australia,Perth,30-Jan-09
Australia,lost,39 runs,0,lost,2nd,South Africa,Perth,30-Jan-09
India,won,15 runs,0,won,1st,Sri Lanka,Colombo (RPS),31-Jan-09
Sri Lanka,lost,15 runs,0,lost,2nd,India,Colombo (RPS),31-Jan-09
New Zealand,won,2 wickets,0,lost,2nd,Australia,Perth,1-Feb-09
Australia,lost,2 wickets,0,won,1st,New Zealand,Perth,1-Feb-09
India,won,147 runs,0,won,1st,Sri Lanka,Colombo (RPS),3-Feb-09
Sri Lanka,lost,147 runs,0,lost,2nd,India,Colombo (RPS),3-Feb-09
India,won,67 runs,0,won,1st,Sri Lanka,Colombo (RPS),5-Feb-09
Sri Lanka,lost,67 runs,0,lost,2nd,India,Colombo (RPS),5-Feb-09
New Zealand,won,6 wickets,7,won,2nd,Australia,Melbourne,6-Feb-09
Australia,lost,6 wickets,7,lost,1st,New Zealand,Melbourne,6-Feb-09
Australia,won,32 runs,0,lost,1st,New Zealand,Sydney,8-Feb-09
New Zealand,lost,32 runs,0,won,2nd,Australia,Sydney,8-Feb-09
Sri Lanka,won,68 runs,0,won,1st,India,Colombo (RPS),8-Feb-09
India,lost,68 runs,0,lost,2nd,Sri Lanka,Colombo (RPS),8-Feb-09
Australia,won,6 wickets,10,lost,2nd,New Zealand,Adelaide,10-Feb-09
New Zealand,lost,6 wickets,10,won,1st,Australia,Adelaide,10-Feb-09
India,won,53 runs,0,won,1st,New Zealand,Napier,3-Mar-09
New Zealand,lost,53 runs,0,lost,2nd,India,Napier,3-Mar-09
India,won,58 runs,0,lost,1st,New Zealand,Christchurch,8-Mar-09
New Zealand,lost,58 runs,0,won,2nd,India,Christchurch,8-Mar-09
India,won,84 runs,0,lost,2nd,New Zealand,Hamilton,11-Mar-09
New Zealand,lost,84 runs,0,won,1st,India,Hamilton,11-Mar-09
New Zealand,won,8 wickets,118,lost,2nd,India,Auckland,14-Mar-09
India,lost,8 wickets,118,won,1st,New Zealand,Auckland,14-Mar-09
England,won,1 runs,0,won,1st,West Indies,Providence,20-Mar-09
West Indies,lost,1 runs,0,lost,2nd,England,Providence,20-Mar-09
West Indies,won,21 runs,0,won,1st,England,Providence,22-Mar-09
England,lost,21 runs,0,lost,2nd,West Indies,Providence,22-Mar-09
West Indies,won,8 wickets,176,won,2nd,England,Bridgetown,27-Mar-09
England,lost,8 wickets,176,lost,1st,West Indies,Bridgetown,27-Mar-09
England,won,9 wickets,9,won,2nd,West Indies,Bridgetown,29-Mar-09
West Indies,lost,9 wickets,9,lost,1st,England,Bridgetown,29-Mar-09
Australia,won,141 runs,0,won,1st,South Africa,Durban,3-Apr-09
South Africa,lost,141 runs,0,lost,2nd,Australia,Durban,3-Apr-09
England,won,26 runs,0,lost,1st,West Indies,Gros Islet,3-Apr-09
West Indies,lost,26 runs,0,won,2nd,England,Gros Islet,3-Apr-09
South Africa,won,7 wickets,142,lost,2nd,Australia,Centurion,5-Apr-09
Australia,lost,7 wickets,142,won,1st,South Africa,Centurion,5-Apr-09
South Africa,won,25 runs,0,won,1st,Australia,Cape Town,9-Apr-09
Australia,lost,25 runs,0,lost,2nd,South Africa,Cape Town,9-Apr-09
South Africa,won,61 runs,0,lost,1st,Australia,Port Elizabeth,13-Apr-09
Australia,lost,61 runs,0,won,2nd,South Africa,Port Elizabeth,13-Apr-09
Australia,won,47 runs,0,lost,1st,South Africa,Johannesburg,17-Apr-09
South Africa,lost,47 runs,0,won,2nd,Australia,Johannesburg,17-Apr-09
Pakistan,won,4 wickets,35,lost,2nd,Australia,Dubai (DSC),22-Apr-09
Australia,lost,4 wickets,35,won,1st,Pakistan,Dubai (DSC),22-Apr-09
Australia,won,6 wickets,29,lost,2nd,Pakistan,Dubai (DSC),24-Apr-09
Pakistan,lost,6 wickets,29,won,1st,Australia,Dubai (DSC),24-Apr-09
Australia,won,27 runs,0,won,1st,Pakistan,Abu Dhabi,27-Apr-09
Pakistan,lost,27 runs,0,lost,2nd,Australia,Abu Dhabi,27-Apr-09
Australia,won,8 wickets,34,lost,2nd,Pakistan,Abu Dhabi,1-May-09
Pakistan,lost,8 wickets,34,won,1st,Australia,Abu Dhabi,1-May-09
Pakistan,won,7 wickets,18,lost,2nd,Australia,Abu Dhabi,3-May-09
Australia,lost,7 wickets,18,won,1st,Pakistan,Abu Dhabi,3-May-09
England,won,6 wickets,84,won,2nd,West Indies,Bristol,24-May-09
West Indies,lost,6 wickets,84,lost,1st,England,Bristol,24-May-09
England,won,58 runs,0,lost,1st,West Indies,Birmingham,26-May-09
West Indies,lost,58 runs,0,won,2nd,England,Birmingham,26-May-09
India,won,20 runs,0,won,1st,West Indies,Kingston,26-Jun-09
West Indies,lost,20 runs,0,lost,2nd,India,Kingston,26-Jun-09
West Indies,won,8 wickets,95,lost,2nd,India,Kingston,28-Jun-09
India,lost,8 wickets,95,won,1st,West Indies,Kingston,28-Jun-09
India,won,6 wickets,1,won,2nd,West Indies,Gros Islet,3-Jul-09
West Indies,lost,6 wickets,1,lost,1st,India,Gros Islet,3-Jul-09
Sri Lanka,won,36 runs,0,lost,1st,Pakistan,Dambulla,30-Jul-09
Pakistan,lost,36 runs,0,won,2nd,Sri Lanka,Dambulla,30-Jul-09
Sri Lanka,won,6 wickets,38,won,2nd,Pakistan,Dambulla,1-Aug-09
Pakistan,lost,6 wickets,38,lost,1st,Sri Lanka,Dambulla,1-Aug-09
Sri Lanka,won,6 wickets,21,won,2nd,Pakistan,Dambulla,3-Aug-09
Pakistan,lost,6 wickets,21,lost,1st,Sri Lanka,Dambulla,3-Aug-09
Pakistan,won,146 runs,0,won,1st,Sri Lanka,Colombo (RPS),7-Aug-09
Sri Lanka,lost,146 runs,0,lost,2nd,Pakistan,Colombo (RPS),7-Aug-09
Pakistan,won,132 runs,0,won,1st,Sri Lanka,Colombo (RPS),9-Aug-09
Sri Lanka,lost,132 runs,0,lost,2nd,Pakistan,Colombo (RPS),9-Aug-09
Australia,won,4 runs,0,lost,1st,England,The Oval,4-Sep-09
England,lost,4 runs,0,won,2nd,Australia,The Oval,4-Sep-09
Australia,won,39 runs,0,lost,1st,England,Lord's,6-Sep-09
England,lost,39 runs,0,won,2nd,Australia,Lord's,6-Sep-09
Sri Lanka,won,97 runs,0,won,1st,New Zealand,Colombo (RPS),8-Sep-09
New Zealand,lost,97 runs,0,lost,2nd,Sri Lanka,Colombo (RPS),8-Sep-09
Australia,won,6 wickets,9,lost,2nd,England,Southampton,9-Sep-09
England,lost,6 wickets,9,won,1st,Australia,Southampton,9-Sep-09
India,won,6 wickets,57,lost,2nd,New Zealand,Colombo (RPS),11-Sep-09
New Zealand,lost,6 wickets,57,won,1st,India,Colombo (RPS),11-Sep-09
Sri Lanka,won,139 runs,0,won,1st,India,Colombo (RPS),12-Sep-09
India,lost,139 runs,0,lost,2nd,Sri Lanka,Colombo (RPS),12-Sep-09
Australia,won,7 wickets,38,lost,2nd,England,Lord's,12-Sep-09
England,lost,7 wickets,38,won,1st,Australia,Lord's,12-Sep-09
India,won,46 runs,0,won,1st,Sri Lanka,Colombo (RPS),14-Sep-09
Sri Lanka,lost,46 runs,0,lost,2nd,India,Colombo (RPS),14-Sep-09
Australia,won,4 wickets,10,lost,2nd,England,Nottingham,15-Sep-09
England,lost,4 wickets,10,won,1st,Australia,Nottingham,15-Sep-09
Australia,won,111 runs,0,won,1st,England,Nottingham,17-Sep-09
England,lost,111 runs,0,lost,2nd,Australia,Nottingham,17-Sep-09
England,won,4 wickets,60,won,2nd,Australia,Chester-le-Street,20-Sep-09
Australia,lost,4 wickets,60,lost,1st,England,Chester-le-Street,20-Sep-09
Sri Lanka,won,55 runs,0,lost,1st,South Africa,Centurion,22-Sep-09
South Africa,lost,55 runs,0,won,2nd,Sri Lanka,Centurion,22-Sep-09
Pakistan,won,5 wickets,117,lost,2nd,West Indies,Johannesburg,23-Sep-09
West Indies,lost,5 wickets,117,won,1st,Pakistan,Johannesburg,23-Sep-09
South Africa,won,5 wickets,53,won,2nd,New Zealand,Centurion,24-Sep-09
New Zealand,lost,5 wickets,53,lost,1st,South Africa,Centurion,24-Sep-09
England,won,6 wickets,30,won,2nd,Sri Lanka,Johannesburg,25-Sep-09
